상하수도구분,업종별,요율,㎥당 금액 ,데이터제공일자
상수도,가정용,1-20,520,2020-09-21
상수도,가정용,21 - 30,740,2020-09-21
상수도,가정용,31 - 50,1070,2020-09-21
상수도,가정용,51이상,1420,2020-09-21
상수도,일반용,1 - 50,880,2020-09-21
상수도,일반용,51 -100,1180,2020-09-21
상수도,일반용,101 - 300,1560,2020-09-21
상수도,일반용,"301 - 1,000",1750,2020-09-21
상수도,일반용,"1,001이상",1920,2020-09-21
상수도,대중탕용,1 - 300,1050,2020-09-21
상수도,대중탕용,301 - 500,1170,2020-09-21
상수도,대중탕용,"501 - 1,000",1410,2020-09-21
상수도,대중탕용,"1,001이상",1730,2020-09-21
하수도,가정용,1-20,440,2020-09-21
하수도,가정용,21 - 30,550,2020-09-21
하수도,가정용,31 - 50,605,2020-09-21
하수도,가정용,51이상,670,2020-09-21
하수도,일반용,1 - 50,540,2020-09-21
하수도,일반용,51 -100,680,2020-09-21
하수도,일반용,101이상,740,2020-09-21
하수도,대중탕용,1 - 300,585,2020-09-21
하수도,대중탕용,"301 - 1,000",620,2020-09-21
하수도,대중탕용,"1,001이상",750,2020-09-21
하수도,산업,1㎥이상,370,2020-09-21
